OPS-code;Text;Weitere_Texte_OPS;wann_gueltig;Mapping_moeglich;Kombiprodukt;Substanzangabe_aus_OPS-Code;Bemerkung_LOESCHEN;1Substanz_allg_engl_INN_oder_sonst;2Substanz_allg_engl_INN_oder_sonst;2Substanz_allg_UNII-number;2Substanz_allg_ASK-Nr;2Substanz_allg_CAS-Nummer;3Substanz_allg_engl_INN_oder_sonst;3Substanz_allg_UNII-number;3Substanz_allg_ASK-Nr;3Substanz_allg_CAS-Nummer;4Substanz_allg_engl_INN_oder_sonst;4Substanz_allg_UNII-number;4Substanz_allg_ASK-Nr;4Substanz_allg_CAS-Nummer;Substanzname_ATC;ATC-Code;ATC-Code2;ATC-Code3;ATC-Code4;ATC-Code5;Einheit_Wert_min;Einheit_Wert_max;UCUM-Code;UCUM-Description;Kommentar SZ;Routes and Methods of Administration - Concept Code;Routes and Methods of Administration - Term;Administration Method - ID;Administration Method - Name;Code Intended Site (EDQM);Intended Site (EDQM);2_Routes and Methods of Administration - Concept Code;2_Routes and Methods of Administration - Term;2_Administration Method - ID;2_Administration Method - Name;2_Code Intended Site (EDQM);2_Intended Site (EDQM);EU-Zulassung? ;Strenght;Pharmaceutical Form;Packaging;Handelsname-Beispiel (Invented name)
6-002.3g;Parenterale Applikation von 3.150 mg bis unter 4.150 mg liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;3150;4150;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.3h;Parenterale Applikation von 4.150 mg bis unter 5.150 mg liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;4150;5150;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.3j;Parenterale Applikation von 5.150 mg bis unter 6.150 mg liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;5150;6150;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.3k;Parenterale Applikation von 6.150 mg bis unter 7.150 mg liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;6150;7150;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.3m;Parenterale Applikation von 7.150 mg bis unter 8.150 mg liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;7150;8150;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.3n;Parenterale Applikation von 8.150 mg bis unter 9.150 mg liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;8150;9150;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.3p;Parenterale Applikation von 9.150 mg bis unter 10.150 mg liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;9150;10150;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.3q;Parenterale Applikation von 10.150 mg bis unter 11.150 mg liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;10150;11150;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.3r;Parenterale Applikation von 11.150 mg und mehr liposomalem Amphotericin B;;gleich 2008 bis 2009;;;liposomalem Amphotericin B;eindeutig (wenn mit dieser Formulierung);amphotericin B;;;;;;;;;;;;;Amphotericin B;G01AA03;J02AA01;D01AA10;A01AB04;A07AA07;11150;;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.40;Parenterale Applikation von 2,0 mg bis unter 3,0 mg Topotecan bei Patienten unter 15 Jahren;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;2;3;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.41;Parenterale Applikation von 3,0 mg bis unter 4,5 mg Topotecan bei Patienten unter 15 Jahren;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;3;4,5;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.42;Parenterale Applikation von 4,5 mg bis unter 6,0 mg Topotecan bei Patienten unter 15 Jahren;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;4,5;6;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.43;Parenterale Applikation von 6,0 mg bis unter 9,0 mg Topotecan;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;6;9;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.44;Parenterale Applikation von 9,0 mg bis unter 12,0 mg Topotecan;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;9;12;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.45;Parenterale Applikation von 12,0 mg bis unter 15,0 mg Topotecan;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;12;15;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.46;Parenterale Applikation von 15,0 mg bis unter 18,0 mg Topotecan;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;15;18;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.47;Parenterale Applikation von 18,0 mg bis unter 21,0 mg Topotecan;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;18;21;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.48;Parenterale Applikation von 21,0 mg bis unter 24,0 mg Topotecan;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;21;24;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.49;Parenterale Applikation von 24,0 mg bis unter 27,0 mg Topotecan;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;24;27;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.4a;Parenterale Applikation von 27,0 mg bis unter 30,0 mg Topotecan;;gleich 2008 bis 2013;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;27;30;mg;milligram;;;;;;;;;;;;;;;;;;
6-002.4c;Parenterale Applikation von 30,0 mg bis unter 40,0 mg Topotecan;;gleich 2008 bis 2020;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;30;40;[IU];international unit;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-002.4d;Parenterale Applikation von 40,0 mg bis unter 50,0 mg Topotecan;;gleich 2014 bis 2020;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;40;50;[IU];international unit;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-002.4e;Parenterale Applikation von 50,0 mg bis unter 60,0 mg Topotecan;;gleich 2014 bis 2020;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;50;60;[IU];international unit;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-002.4f;Parenterale Applikation von 60,0 mg bis unter 70,0 mg Topotecan;;gleich 2014 bis 2020;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;60;70;[IU];international unit;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-002.4g;Parenterale Applikation von 70,0 mg oder mehr Topotecan;;gleich 2014 bis 2020;;;Topotecan;eindeutig;topotecan;;;;;;;;;;;;;Topotecan;L01XX17;;;;;70;;[IU];international unit;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-002.50;Orale Applikation von 1,00 g bis unter 1,75 g Voriconazol bei Patienten unter 15 Jahren;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;1;1,75;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.51;Orale Applikation von 1,75 g bis unter 2,50 g Voriconazol bei Patienten unter 15 Jahren;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;1,75;2,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.52;Orale Applikation von 2,50 g bis unter 3,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;2,5;3,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.53;Orale Applikation von 3,50 g bis unter 4,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;3,5;4,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.54;Orale Applikation von 4,50 g bis unter 6,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;4,5;6,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.55;Orale Applikation von 6,50 g bis unter 8,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;6,5;8,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.56;Orale Applikation von 8,50 g bis unter 10,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;8,5;10,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.57;Orale Applikation von 10,50 g bis unter 15,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;10,5;15,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.58;Orale Applikation von 15,50 g bis unter 20,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;15,5;20,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.59;Orale Applikation von 20,50 g bis unter 25,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;20,5;25,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.5a;Orale Applikation von 25,50 g bis unter 30,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;25,5;30,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.5c;Orale Applikation von 30,50 g bis unter 35,50 g Voriconazol;;gleich 2008 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;30,5;35,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.5d;Orale Applikation von 35,50 g bis unter 40,50 g Voriconazol;;gleich 2010 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;35,5;40,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.5e;Orale Applikation von 40,50 g bis unter 45,50 g Voriconazol;;gleich 2010 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;40,5;45,5;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.5f;Orale Applikation von 45,50 g oder mehr Voriconazol;;gleich 2010 bis 2020;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;45,5;;g;gram;;20053000;Oral use;AME-0019;Swallowing;ISI - 0031;Oral;;;;;;;;;;;
6-002.60;Parenterale Applikation von 0,4 g bis unter 0,6 g Voriconazol bei Patienten unter 10 Jahren;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;0,4;0,6;g;gram;;;;;;;;;;;;;;;;;;
6-002.61;Parenterale Applikation von 0,6 g bis unter 0,8 g Voriconazol bei Patienten unter 10 Jahren;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;0,6;0,8;g;gram;;;;;;;;;;;;;;;;;;
6-002.62;Parenterale Applikation von 0,8 g bis unter 1,2 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;0,8;1,2;g;gram;;;;;;;;;;;;;;;;;;
6-002.63;Parenterale Applikation von 1,2 g bis unter 1,6 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;1,2;1,6;g;gram;;;;;;;;;;;;;;;;;;
6-002.64;Parenterale Applikation von 1,6 g bis unter 2,0 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;1,6;2;g;gram;;;;;;;;;;;;;;;;;;
6-002.65;Parenterale Applikation von 2,0 g bis unter 2,4 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;2;2,4;g;gram;;;;;;;;;;;;;;;;;;
6-002.66;Parenterale Applikation von 2,4 g bis unter 3,2 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;2,4;3,2;g;gram;;;;;;;;;;;;;;;;;;
6-002.67;Parenterale Applikation von 3,2 g bis unter 4,0 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;3,2;4;g;gram;;;;;;;;;;;;;;;;;;
6-002.68;Parenterale Applikation von 4,0 g bis unter 4,8 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;4;4,8;g;gram;;;;;;;;;;;;;;;;;;
6-002.69;Parenterale Applikation von 4,8 g bis unter 5,6 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;4,8;5,6;g;gram;;;;;;;;;;;;;;;;;;
6-002.6a;Parenterale Applikation von 5,6 g bis unter 6,4 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;5,6;6,4;g;gram;;;;;;;;;;;;;;;;;;
6-002.6b;Parenterale Applikation von 6,4 g bis unter 7,2 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;6,4;7,2;g;gram;;;;;;;;;;;;;;;;;;
6-002.6c;Parenterale Applikation von 7,2 g bis unter 8,8 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;7,2;8,3;g;gram;;;;;;;;;;;;;;;;;;
6-002.6d;Parenterale Applikation von 8,8 g bis unter 10,4 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;8,3;10,4;g;gram;;;;;;;;;;;;;;;;;;
6-002.6e;Parenterale Applikation von 10,4 g bis unter 12,0 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;10,4;12;g;gram;;;;;;;;;;;;;;;;;;
6-002.6f;Parenterale Applikation von 12,0 g bis unter 13,6 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;12;13,6;g;gram;;;;;;;;;;;;;;;;;;
6-002.6g;Parenterale Applikation von 13,6 g bis unter 15,2 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;13,6;15,2;g;gram;;;;;;;;;;;;;;;;;;
6-002.6h;Parenterale Applikation von 15,2 g bis unter 16,8 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;15,2;16,8;g;gram;;;;;;;;;;;;;;;;;;
6-002.6j;Parenterale Applikation von 16,8 g bis unter 18,4 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;16,8;18,4;g;gram;;;;;;;;;;;;;;;;;;
6-002.6k;Parenterale Applikation von 18,4 g bis unter 20,0 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;18,4;20;g;gram;;;;;;;;;;;;;;;;;;
6-002.6m;Parenterale Applikation von 20,0 g bis unter 21,6 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;20;21,6;g;gram;;;;;;;;;;;;;;;;;;
6-002.6n;Parenterale Applikation von 21,6 g bis unter 23,2 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;21,6;23,2;g;gram;;;;;;;;;;;;;;;;;;
6-002.6p;Parenterale Applikation von 23,2 g bis unter 24,8 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;23,2;24,8;g;gram;;;;;;;;;;;;;;;;;;
6-002.6q;Parenterale Applikation von 24,8 g bis unter 26,4 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;24,8;26,4;g;gram;;;;;;;;;;;;;;;;;;
6-002.6r;Parenterale Applikation von 26,4 g bis unter 28,0 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;26,4;28;g;gram;;;;;;;;;;;;;;;;;;
6-002.6s;Parenterale Applikation von 28,0 g bis unter 29,6 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;28;29,6;g;gram;;;;;;;;;;;;;;;;;;
6-002.6t;Parenterale Applikation von 29,6 g bis unter 31,2 g Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;29,6;31,2;g;gram;;;;;;;;;;;;;;;;;;
6-002.6u;Parenterale Applikation von 31,2 g und mehr Voriconazol;;gleich 2008 bis 2009;;;Voriconazol;eindeutig;voriconazole;;;;;;;;;;;;;Voriconazol;J02AC03;;;;;31,2;;g;gram;;;;;;;;;;;;;;;;;;
6-002.70;Parenterale Applikation von 1 mg bis unter 3 mg Pegfilgrastim bei Patienten unter 15 Jahren;;gleich 2008 bis 2020;;;Pegfilgrastim;eindeutig;pegfilgrastim;;;;;;;;;;;;;Pegfilgrastim;L03AA13;;;;;1;3;mg;milligram;;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;;;;;;;ja;6 mg;Solution for injection;pre-filled syringe (glass) UND WEITERE;Neulasta und andere (meist noch pending, nicht alle nachgesehen)
6-002.71;Parenterale Applikation von 3 mg bis unter 6 mg Pegfilgrastim bei Patienten unter 15 Jahren;;gleich 2008 bis 2020;;;Pegfilgrastim;eindeutig;pegfilgrastim;;;;;;;;;;;;;Pegfilgrastim;L03AA13;;;;;3;6;mg;milligram;;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;;;;;;;ja;6 mg;Solution for injection;pre-filled syringe (glass) UND WEITERE;Neulasta und andere (meist noch pending, nicht alle nachgesehen)
6-002.72;Parenterale Applikation von 6 mg bis unter 12 mg Pegfilgrastim;;gleich 2008 bis 2020;;;Pegfilgrastim;eindeutig;pegfilgrastim;;;;;;;;;;;;;Pegfilgrastim;L03AA13;;;;;6;12;mg;milligram;;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;;;;;;;ja;6 mg;Solution for injection;pre-filled syringe (glass) UND WEITERE;Neulasta und andere (meist noch pending, nicht alle nachgesehen)
6-002.73;Parenterale Applikation von 12 mg bis unter 18 mg Pegfilgrastim;;gleich 2008 bis 2020;;;Pegfilgrastim;eindeutig;pegfilgrastim;;;;;;;;;;;;;Pegfilgrastim;L03AA13;;;;;12;18;mg;milligram;;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;;;;;;;ja;6 mg;Solution for injection;pre-filled syringe (glass) UND WEITERE;Neulasta und andere (meist noch pending, nicht alle nachgesehen)
6-002.74;Parenterale Applikation von 18 mg bis unter 24 mg Pegfilgrastim;;gleich 2008 bis 2020;;;Pegfilgrastim;eindeutig;pegfilgrastim;;;;;;;;;;;;;Pegfilgrastim;L03AA13;;;;;18;24;mg;milligram;;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;;;;;;;ja;6 mg;Solution for injection;pre-filled syringe (glass) UND WEITERE;Neulasta und andere (meist noch pending, nicht alle nachgesehen)
6-002.75;Parenterale Applikation von 24 mg bis unter 30 mg Pegfilgrastim;;gleich 2008 bis 2020;;;Pegfilgrastim;eindeutig;pegfilgrastim;;;;;;;;;;;;;Pegfilgrastim;L03AA13;;;;;24;30;mg;milligram;;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;;;;;;;ja;6 mg;Solution for injection;pre-filled syringe (glass) UND WEITERE;Neulasta und andere (meist noch pending, nicht alle nachgesehen)
6-002.76;Parenterale Applikation von 30 mg oder mehr Pegfilgrastim;;gleich 2008 bis 2020;;;Pegfilgrastim;eindeutig;pegfilgrastim;;;;;;;;;;;;;Pegfilgrastim;L03AA13;;;;;30;;mg;milligram;;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;;;;;;;ja;6 mg;Solution for injection;pre-filled syringe (glass) UND WEITERE;Neulasta und andere (meist noch pending, nicht alle nachgesehen)
6-002.80;Parenterale Applikation von 10 mg bis unter 20 mg pegyliertem liposomalem Doxorubicin bei Patienten unter 15 Jahren;;gleich 2008 bis 2020;;;pegyliertem liposomalem Doxorubicin;eindeutig (wenn mit dieser Formulierung);doxorubicin;;;;;;;;;;;;;Doxorubicin;L01DB01;;;;;10;20;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja; 2 mg/ml;Concentrate for solution for infusion;vial (glass);Caelix
6-002.81;Parenterale Applikation von 20 mg bis unter 30 mg pegyliertem liposomalem Doxorubicin bei Patienten unter 15 Jahren;;gleich 2008 bis 2020;;;pegyliertem liposomalem Doxorubicin;eindeutig (wenn mit dieser Formulierung);doxorubicin;;;;;;;;;;;;;Doxorubicin;L01DB01;;;;;20;30;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja; 2 mg/ml;Concentrate for solution for infusion;vial (glass);Caelix
6-002.82;Parenterale Applikation von 30 mg bis unter 40 mg pegyliertem liposomalem Doxorubicin;;gleich 2008 bis 2020;;;pegyliertem liposomalem Doxorubicin;eindeutig (wenn mit dieser Formulierung);doxorubicin;;;;;;;;;;;;;Doxorubicin;L01DB01;;;;;30;40;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja; 2 mg/ml;Concentrate for solution for infusion;vial (glass);Caelix
6-002.83;Parenterale Applikation von 40 mg bis unter 50 mg pegyliertem liposomalem Doxorubicin;;gleich 2008 bis 2020;;;pegyliertem liposomalem Doxorubicin;eindeutig (wenn mit dieser Formulierung);doxorubicin;;;;;;;;;;;;;Doxorubicin;L01DB01;;;;;40;50;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja; 2 mg/ml;Concentrate for solution for infusion;vial (glass);Caelix
6-002.84;Parenterale Applikation von 50 mg bis unter 60 mg pegyliertem liposomalem Doxorubicin;;gleich 2008 bis 2020;;;pegyliertem liposomalem Doxorubicin;eindeutig (wenn mit dieser Formulierung);doxorubicin;;;;;;;;;;;;;Doxorubicin;L01DB01;;;;;50;60;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja; 2 mg/ml;Concentrate for solution for infusion;vial (glass);Caelix
6-002.85;Parenterale Applikation von 60 mg bis unter 70 mg pegyliertem liposomalem Doxorubicin;;gleich 2008 bis 2020;;;pegyliertem liposomalem Doxorubicin;eindeutig (wenn mit dieser Formulierung);doxorubicin;;;;;;;;;;;;;Doxorubicin;L01DB01;;;;;60;70;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja; 2 mg/ml;Concentrate for solution for infusion;vial (glass);Caelix
